Town,Latitude,Longitude
Sheikhupura Road,31.614178,74.2616405
Makkah Colony,31.4972319,74.3557557
Askari 10,31.5656822,74.3141829
Nishtar Town,31.5067773,74.2745232
DHA Phase 7,31.4519802,74.4869858
DHA Y Block,,
Bedian Road,31.487905117081066,74.4116501376717
DHA T Block,,
Muslim Town,31.5027048,74.3313924
Saddar,31.5499546,74.380229
Jail Road,31.538604501717614,74.33654607953963
Lal Pul,31.568856163186567,74.38882695275956
Garhi Shahu,31.570238734163215,74.34818514939577
Butt Chowk,31.44315,74.2943434
Tajpura,31.5952829,74.3367586
Punjab Society,31.48541185,74.28317627209972
Food Menu,,
Kacha Jail Road,31.454768821085892,74.33570093026835
Harbanspura,31.57445345,74.42677085717662
Amanah Mall,31.4670034,74.31578459496887
Canal Bank,31.5196395,74.3274113
UET,31.40673645,74.27006822471999
State Life,31.445775716624702,74.39770532394532
Shalimar Bagh,31.583471850000002,74.37974203915695
Sher Shah Road,31.59540975121727,74.35300126304104
Old Anarkali,31.5645997,74.3076404
Band Road,31.63253990764058,74.31331795155673
Ghosia Chowk,31.451471,74.2986701
DHA Raya,,
Umer Chowk,,
Taxali Gate,31.5860318,74.3076405
Ravi Road,31.59504883267391,74.3014998134413
Marghazar Colony,,
Emporium Mall,31.467189,74.2659803
Airline Society,,
College Road,31.547137640434762,74.34337251843104
Thoker Niaz Baig,,
,,
Bahria Orchard,31.304791,74.20349601961209
